angle_cmd_deg,angle_actual_deg,freq_hz,re,im,mag_db,phase_deg
0.00,0.00,2630000000,-8.920443920e-01,1.118381218e-01,-0.9245,172.8540
0.00,0.00,2640000000,-7.906274955e-01,4.270836338e-01,-0.9286,151.6228
0.00,0.00,2650000000,-5.822028564e-01,6.843494966e-01,-0.9297,130.3891
0.00,0.00,2660000000,-2.946457802e-01,8.485252106e-01,-0.9323,109.1493
0.00,0.00,2670000000,3.278743925e-02,8.974835256e-01,-0.9337,87.9078
0.00,0.00,2680000000,3.557167960e-01,8.247008440e-01,-0.9331,66.6681
0.00,0.00,2690000000,6.302259753e-01,6.395158402e-01,-0.9358,45.4192
0.00,0.00,2700000000,8.189398226e-01,3.675802104e-01,-0.9378,24.1729
0.00,0.00,2710000000,8.962024043e-01,4.594485527e-02,-0.9405,2.9348
0.00,0.00,2720000000,8.516496015e-01,-2.816833312e-01,-0.9439,-18.3016
0.00,0.00,2730000000,6.915441755e-01,-5.707855761e-01,-0.9473,-39.5355
0.00,0.00,2740000000,4.379381314e-01,-7.822055155e-01,-0.9494,-60.7566
0.00,0.00,2750000000,1.252046881e-01,-8.876931869e-01,-0.9492,-81.9717
0.00,0.00,2760000000,-2.047279553e-01,-8.729388695e-01,-0.9478,-103.1989
0.00,0.00,2770000000,-5.073297580e-01,-7.399960376e-01,-0.9422,-124.4339
0.00,0.00,2780000000,-7.415490591e-01,-5.057415321e-01,-0.9384,-145.7057
0.00,0.00,2790000000,-8.745114758e-01,-2.017892060e-01,-0.9394,-167.0067
0.00,0.00,2800000000,-8.874020802e-01,1.293900141e-01,-0.9462,171.7043
0.00,0.00,2810000000,-7.790489138e-01,4.416051132e-01,-0.9586,150.4532
0.00,0.00,2820000000,-5.660347764e-01,6.924238119e-01,-0.9699,129.2649
0.00,0.00,2830000000,-2.780074423e-01,8.498298672e-01,-0.9718,108.1146
0.00,0.00,2840000000,4.761317272e-02,8.936380509e-01,-0.9645,86.9502
0.00,0.00,2850000000,3.689706485e-01,8.171190397e-01,-0.9484,65.6984
0.00,0.00,2860000000,6.416575941e-01,6.274737850e-01,-0.9396,44.3597
0.00,0.00,2870000000,8.255908697e-01,3.501892054e-01,-0.9462,22.9851
0.00,0.00,2880000000,8.942273022e-01,2.589085682e-02,-0.9674,1.6584
0.00,0.00,2890000000,8.404794396e-01,-2.982818856e-01,-0.9943,-19.5395
0.00,0.00,2900000000,6.756613625e-01,-5.797514032e-01,-1.0093,-40.6313
0.00,0.00,2910000000,4.222832687e-01,-7.845251137e-01,-1.0029,-61.7079
0.00,0.00,2920000000,1.109168189e-01,-8.865035961e-01,-0.9789,-82.8684
0.00,0.00,2930000000,-2.198946311e-01,-8.683470052e-01,-0.9562,-104.2105
0.00,0.00,2940000000,-5.224667177e-01,-7.280959159e-01,-0.9523,-125.6624
0.00,0.00,2950000000,-7.502240585e-01,-4.856428656e-01,-0.9762,-147.0838
0.00,0.00,2960000000,-8.711462406e-01,-1.796499727e-01,-1.0173,-168.3477
0.00,0.00,2970000000,-8.741618989e-01,1.449893844e-01,-1.0503,170.5826
0.00,0.00,2980000000,-7.637106381e-01,4.478564700e-01,-1.0578,149.6117
0.00,0.00,2990000000,-5.535582162e-01,6.939305640e-01,-1.0349,128.5799
0.00,0.00,3000000000,-2.660230020e-01,8.510962269e-01,-0.9956,107.3574
5.00,5.00,2000000000,2.998469143e-01,8.583148021e-01,-0.8270,70.7435
5.00,5.00,2010000000,5.898394032e-01,6.948443106e-01,-0.8055,49.6727
5.00,5.00,2020000000,8.044300512e-01,4.354693689e-01,-0.7741,28.4284
5.00,5.00,2030000000,9.097988291e-01,1.121808138e-01,-0.7556,7.0293
5.00,5.00,2040000000,8.871376185e-01,-2.279115426e-01,-0.7626,-14.4081
5.00,5.00,2050000000,7.413508099e-01,-5.334223598e-01,-0.7876,-35.7361
5.00,5.00,2060000000,4.969380583e-01,-7.629760887e-01,-0.8140,-56.9232
5.00,5.00,2070000000,1.887465145e-01,-8.895834547e-01,-0.8250,-78.0210
5.00,5.00,2080000000,-1.446452119e-01,-8.986647584e-01,-0.8170,-99.1437
5.00,5.00,2090000000,-4.609274394e-01,-7.869301104e-01,-0.8003,-120.3587
5.00,5.00,2100000000,-7.163392849e-01,-5.663117094e-01,-0.7891,-141.6714
5.00,5.00,2110000000,-8.730958287e-01,-2.666181756e-01,-0.7916,-163.0188
5.00,5.00,2120000000,-9.089616234e-01,6.860713504e-02,-0.8044,175.6836
5.00,5.00,2130000000,-8.210540374e-01,3.924739636e-01,-0.8188,154.4516
5.00,5.00,2140000000,-6.231643022e-01,6.619518291e-01,-0.8275,133.2712
5.00,5.00,2150000000,-3.417552596e-01,8.423317343e-01,-0.8285,112.0836
5.00,5.00,2160000000,-1.369745078e-02,9.091845897e-01,-0.8260,90.8631
5.00,5.00,2170000000,3.168639428e-01,8.524981719e-01,-0.8241,69.6105
5.00,5.00,2180000000,6.042695018e-01,6.794866048e-01,-0.8258,48.3532
5.00,5.00,2190000000,8.089824611e-01,4.141003131e-01,-0.8306,27.1069
5.00,5.00,2200000000,9.036512652e-01,9.294984095e-02,-0.8343,5.8728
5.00,5.00,2210000000,8.756172072e-01,-2.408796009e-01,-0.8369,-15.3814
5.00,5.00,2220000000,7.286168627e-01,-5.414570236e-01,-0.8404,-36.6171
5.00,5.00,2230000000,4.827880473e-01,-7.680433127e-01,-0.8461,-57.8467
5.00,5.00,2240000000,1.718319182e-01,-8.901861208e-01,-0.8515,-79.0746
5.00,5.00,2250000000,-1.614643668e-01,-8.917206096e-01,-0.8553,-100.2634
5.00,5.00,2260000000,-4.731028310e-01,-7.729862269e-01,-0.8548,-121.4685
5.00,5.00,2270000000,-7.212686978e-01,-5.494685721e-01,-0.8505,-142.6995
5.00,5.00,2280000000,-8.717861659e-01,-2.507939938e-01,-0.8465,-163.9506
5.00,5.00,2290000000,-9.030701002e-01,8.283260009e-02,-0.8492,174.7593
5.00,5.00,2300000000,-8.108568349e-01,4.043483560e-01,-0.8566,153.4960
5.00,5.00,2310000000,-6.089083272e-01,6.695745447e-01,-0.8666,132.2833
5.00,5.00,2320000000,-3.255701397e-01,8.436107681e-01,-0.8742,111.1028
5.00,5.00,2330000000,1.022785780e-03,9.045862455e-01,-0.8710,89.9352
5.00,5.00,2340000000,3.284572090e-01,8.437356572e-01,-0.8631,68.7296
5.00,5.00,2350000000,6.126189349e-01,6.677356962e-01,-0.8557,47.4649
5.00,5.00,2360000000,8.136627773e-01,3.996490062e-01,-0.8525,26.1590
5.00,5.00,2370000000,9.023869992e-01,7.708690996e-02,-0.8606,4.8827
5.00,5.00,2380000000,8.679426781e-01,-2.547110510e-01,-0.8714,-16.3551
5.00,5.00,2390000000,7.165288259e-01,-5.508391385e-01,-0.8786,-37.5517
5.00,5.00,2400000000,4.692286660e-01,-7.723809735e-01,-0.8791,-58.7209
5.00,5.00,2410000000,1.580503452e-01,-8.905106093e-01,-0.8725,-79.9358
5.00,5.00,2420000000,-1.757414205e-01,-8.879467886e-01,-0.8654,-101.1952
5.00,5.00,2430000000,-4.862240528e-01,-7.636488525e-01,-0.8641,-122.4854
5.00,5.00,2440000000,-7.298225931e-01,-5.344930102e-01,-0.8707,-143.7824
5.00,5.00,2450000000,-8.729448742e-01,-2.335731165e-01,-0.8800,-165.0203
5.00,5.00,2460000000,-8.973186380e-01,9.803210024e-02,-0.8895,173.7652
5.00,5.00,2470000000,-8.009019903e-01,4.156700237e-01,-0.8926,152.5706
5.00,5.00,2480000000,-5.966378782e-01,6.775321419e-01,-0.8883,131.3673
5.00,5.00,2490000000,-3.108002954e-01,8.480498794e-01,-0.8842,110.1273
5.00,5.00,2500000000,1.819269181e-02,9.033416297e-01,-0.8812,88.8463
5.00,5.00,2510000000,3.447270306e-01,8.348872292e-01,-0.8838,67.5641
5.00,5.00,2520000000,6.233890954e-01,6.525548760e-01,-0.8914,46.3095
5.00,5.00,2530000000,8.169137307e-01,3.818441546e-01,-0.8983,25.0525
5.00,5.00,2540000000,8.991284625e-01,6.018846588e-02,-0.9041,3.8297
5.00,5.00,2550000000,8.596715187e-01,-2.692870867e-01,-0.9068,-17.3929
5.00,5.00,2560000000,7.035473876e-01,-5.626911836e-01,-0.9066,-38.6525
5.00,5.00,2570000000,4.519711662e-01,-7.792516880e-01,-0.9071,-59.8860
5.00,5.00,2580000000,1.390939918e-01,-8.898948650e-01,-0.9084,-81.1163
5.00,5.00,2590000000,-1.922702341e-01,-8.796711333e-01,-0.9109,-102.3293
5.00,5.00,2600000000,-4.973674355e-01,-7.501867114e-01,-0.9143,-123.5440
5.00,5.00,2610000000,-7.342365616e-01,-5.199320251e-01,-0.9182,-144.6967
5.00,5.00,2620000000,-8.722590939e-01,-2.189690415e-01,-0.9217,-165.9079
5.00,5.00,2630000000,-8.920675245e-01,1.118314340e-01,-0.9243,172.8546
5.00,5.00,2640000000,-7.906872258e-01,4.270901782e-01,-0.9281,151.6243
5.00,5.00,2650000000,-5.822106873e-01,6.843330922e-01,-0.9298,130.3902
5.00,5.00,2660000000,-2.947418296e-01,8.485433456e-01,-0.9318,109.1547
5.00,5.00,2670000000,3.275511440e-02,8.974916464e-01,-0.9336,87.9098
5.00,5.00,2680000000,3.556787348e-01,8.247170868e-01,-0.9331,66.6707
5.00,5.00,2690000000,6.302028637e-01,6.395293550e-01,-0.9358,45.4208
5.00,5.00,2700000000,8.189278475e-01,3.675820759e-01,-0.9379,24.1733
5.00,5.00,2710000000,8.961892219e-01,4.589341629e-02,-0.9406,2.9315
5.00,5.00,2720000000,8.516308722e-01,-2.816916996e-01,-0.9441,-18.3025
5.00,5.00,2730000000,6.915615864e-01,-5.707990206e-01,-0.9471,-39.5355
5.00,5.00,2740000000,4.379823839e-01,-7.822466975e-01,-0.9489,-60.7554
5.00,5.00,2750000000,1.251704835e-01,-8.877189643e-01,-0.9490,-81.9741
5.00,5.00,2760000000,-2.047206028e-01,-8.729508256e-01,-0.9477,-103.1982
5.00,5.00,2770000000,-5.073051012e-01,-7.400118703e-01,-0.9422,-124.4321
5.00,5.00,2780000000,-7.415243329e-01,-5.057765471e-01,-0.9384,-145.7030
5.00,5.00,2790000000,-8.744896881e-01,-2.018473237e-01,-0.9395,-167.0028
5.00,5.00,2800000000,-8.874296659e-01,1.293481441e-01,-0.9460,171.7072
5.00,5.00,2810000000,-7.790353106e-01,4.415171204e-01,-0.9592,150.4577
5.00,5.00,2820000000,-5.660672056e-01,6.924067586e-01,-0.9699,129.2672
5.00,5.00,2830000000,-2.780326985e-01,8.498422927e-01,-0.9716,108.1159
5.00,5.00,2840000000,4.761685421e-02,8.936563189e-01,-0.9643,86.9500
